geoid_5_digit,contested_project_total,mw_wind_contested,mw_solar_contested,battery_storage,hydropower,pumped_storage,solar,solar_thermal,transmission_line,wind,GEO_ID.x,NAME.x,median_income,GEO_ID.y,NAME.y,population,B01003_001M,...5,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,county_name,state_name,state_geography_id,geography_id,utility_pv,land_based_wind,csp,residential_pv,commercial_pv,distributed_wind,density,solar_normalized,wind_normalized,solar_mw_normalized,wind_mw_normalized,solar_and_wind_normalized,solar_and_wind_mw_normalized
10001,1,0,7.3,NA,NA,0,1,0,0,0,0500000US10001,"Kent County, Delaware",69278,0500000US10001,"Kent County, Delaware",182400,*****,NA,DE,10001,217271,Kent County,1517891096,549776917,586.061,212.27,39.097088,-75.502982,Kent,Delaware,G10,G1000010,44941394.67,357040.59,0,352779.01,357409.38,9835627.37,311.2304009309611,2.225120086599217e-8,0,1.6243376632174285e-7,0,2.225120086599217e-8,1.6243376632174285e-7
10005,2,322.3,0,NA,NA,0,0,0,0,2,0500000US10005,"Sussex County, Delaware",75406,0500000US10005,"Sussex County, Delaware",240668,*****,NA,DE,10005,217269,Sussex County,2424590442,674129051,936.14,260.283,38.673227,-75.337024,Sussex,Delaware,G10,G1000050,81984441.95,965895.91,0,456583.65,385844.98,18060534,257.0854786677206,0,2.070616491170358e-6,0,3.336798475521032e-4,2.070616491170358e-6,3.336798475521032e-4
01019,1,0,0,NA,NA,0,0,0,0,1,0500000US01019,"Cherokee County, Alabama",46621,0500000US01019,"Cherokee County, Alabama",25069,*****,NA,AL,1019,161535,Cherokee County,1433614765,120316891,553.522,46.455,34.069515,-85.654242,Cherokee,Alabama,G01,G0100190,34241223.25,2411547.6,0,62507.53,75375.57,4912806.41,45.2899794407449,0,4.14671474865352e-7,0,0,4.14671474865352e-7,0
01029,1,0,0,NA,NA,0,0,0,0,1,0500000US01029,"Cleburne County, Alabama",51553,0500000US01029,"Cleburne County, Alabama",15144,*****,NA,AL,1029,161540,Cleburne County,1450669160,2349509,560.107,0.907,33.671964,-85.516126,Cleburne,Alabama,G01,G0100290,12242967.84,5588479.8,0,29769.16,68542.3,4131852.2,27.037691012610093,0,1.7893953915696358e-7,0,0,1.7893953915696358e-7,0
01039,1,0,160,NA,NA,0,1,0,0,0,0500000US01039,"Covington County, Alabama",48772,0500000US01039,"Covington County, Alabama",37542,*****,NA,AL,1039,161545,Covington County,2669165560,34194851,1030.571,13.203,31.243987,-86.448721,Covington,Alabama,G01,G0100390,83360225.93,5478767.21,33032393.12,103172.01,133040.86,9400019.53,36.42834894442014,1.1996128715386747e-8,0,1.9193805944618793e-6,0,1.1996128715386747e-8,1.9193805944618793e-6
01055,1,80,0,NA,NA,0,0,0,0,1,0500000US01055,"Etowah County, Alabama",52177,0500000US01055,"Etowah County, Alabama",103348,*****,NA,AL,1055,161553,Etowah County,1386015447,34924289,535.144,13.484,34.047641,-86.034263,Etowah,Alabama,G01,G0100550,28123378.83,2098313.61,0,235473.66,436333.35,5871740.51,193.1218513147863,0,4.765731848825019e-7,0,3.812585479060016e-5,4.765731848825019e-7,3.812585479060016e-5
12001,2,0,188,NA,NA,0,2,0,0,0,0500000US12001,"Alachua County, Florida",57566,0500000US12001,"Alachua County, Florida",279729,*****,NA,FL,12001,308548,Alachua County,2267912994,241289851,875.646,93.163,29.67574,-82.357221,Alachua,Florida,G12,G1200010,92640056.8,1823768.16,69533198.46,467545.89,849011.3,7510365.35,319.45443706703395,2.1588933222674795e-8,0,2.0293597229314307e-6,0,2.1588933222674795e-8,2.0293597229314307e-6
13021,1,0,9,NA,NA,0,1,0,0,0,0500000US13021,"Bibb County, Georgia",48897,0500000US13021,"Bibb County, Georgia",156554,*****,NA,GA,13021,1672039,Bibb County,645898854,14304451,249.383,5.523,32.80899,-83.69406,Bibb,Georgia,G13,G1300210,13894735.8,143529.87,699274.24,270311.79,563913.47,1883074.26,627.7653248216599,7.196970236742465e-8,0,6.477273213068218e-7,0,7.196970236742465e-8,6.477273213068218e-7
13261,1,0,79.9,NA,NA,0,1,0,0,0,0500000US13261,"Sumter County, Georgia",38899,0500000US13261,"Sumter County, Georgia",29378,*****,NA,GA,13261,343504,Sumter County,1250646291,25211441,482.877,9.734,32.042266,-84.204294,Sumter,Georgia,G13,G1302610,53785118.35,2284892.42,28936183.57,55117.17,139389.22,4262349.1,60.8395098544764,1.8592503478241393e-8,0,1.4855410279114874e-6,0,1.8592503478241393e-8,1.4855410279114874e-6
15003,1,4,0,NA,NA,0,0,0,0,1,0500000US15003,"Honolulu County, Hawaii",99816,0500000US15003,"Honolulu County, Hawaii",1010100,*****,NA,HI,15003,365281,Honolulu County,1556027675,4054461969,600.786,1565.437,21.461365,-158.201974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1681.2975002746405,NA,NA,NA,NA,NA,NA
15009,1,0,48.4,NA,NA,0,1,0,0,0,0500000US15009,"Maui County, Hawaii",95379,0500000US15009,"Maui County, Hawaii",164765,21,NA,HI,15009,365283,Maui County,3008374290,3203268772,1161.54,1236.789,20.855931000000002,-156.60155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.85047437023263,NA,NA,NA,NA,NA,NA
16011,1,160,0,NA,NA,0,0,0,0,1,0500000US16011,"Bingham County, Idaho",69433,0500000US16011,"Bingham County, Idaho",48253,*****,NA,ID,16011,400593,Bingham County,5422741966,68632371,2093.732,26.499,43.216357,-112.399206,Bingham,Idaho,G16,G1600110,208189394.5,27032828.07,386439167.8,80144.29,55654.23,10784587.46,23.046407085529573,0,3.699206007638401e-8,0,5.9187296122214415e-6,3.699206007638401e-8,5.9187296122214415e-6
16019,1,635,0,NA,NA,0,0,0,0,1,0500000US16019,"Bonneville County, Idaho",73103,0500000US16019,"Bonneville County, Idaho",124490,*****,NA,ID,16019,395407,Bonneville County,4832814957,88912977,1865.96,34.329,43.395171,-111.621878,Bonneville,Idaho,G16,G1600190,80991944.45,13400843.54,97370810.86,183023.16,131103.53,10365724.82,66.7163283242942,0,7.462216815046854e-8,0,4.738507677554752e-5,7.462216815046854e-8,4.738507677554752e-5
16053,1,10,0,NA,NA,0,0,0,0,1,0500000US16053,"Jerome County, Idaho",67347,0500000US16053,"Jerome County, Idaho",24474,*****,NA,ID,16053,395662,Jerome County,1547629732,12908802,597.543,4.984,42.691395,-114.262086,Jerome,Idaho,G16,G1600530,85026136.37,7024809.62,172886849.5,37542.25,34644.04,6624424.94,40.957721871062,0,1.4235261225484998e-7,0,1.4235261225484997e-6,1.4235261225484998e-7,1.4235261225484997e-6
17011,1,0,0.7,NA,NA,0,1,0,0,0,0500000US17011,"Bureau County, Illinois",64165,0500000US17011,"Bureau County, Illinois",33203,*****,NA,IL,17011,424207,Bureau County,2250884560,11523903,869.071,4.449,41.401304,-89.528377,Bureau,Illinois,G17,G1700110,103036389.1,10354602.57,0,101719.39,158218.02,15469700.93,38.205163904905355,9.705309053770015e-9,0,6.79371633763901e-9,0,9.705309053770015e-9,6.79371633763901e-9
17037,1,0,5,NA,NA,0,1,0,0,0,0500000US17037,"DeKalb County, Illinois",68617,0500000US17037,"DeKalb County, Illinois",100686,*****,NA,IL,17037,422190,DeKalb County,1635155501,8560431,631.337,3.305,41.894612,-88.768991,DeKalb,Illinois,G17,G1700370,77280668.8,7248553.11,0,188855.26,477470.99,13477933.16,159.48059435768852,1.2939846607538677e-8,0,6.469923303769338e-8,0,1.2939846607538677e-8,6.469923303769338e-8
17039,1,200,0,NA,NA,0,0,0,0,1,0500000US17039,"De Witt County, Illinois",61823,0500000US17039,"De Witt County, Illinois",15535,*****,NA,IL,17039,426598,De Witt County,1029678324,19492326,397.561,7.526,40.181499,-88.901853,De Witt,Illinois,G17,G1700390,49969128.27,4939275.61,0,55520.52,23105.51,6780778.67,39.07576447387948,0,2.0245883788614905e-7,0,4.0491767577229806e-5,2.0245883788614905e-7,4.0491767577229806e-5
17041,1,200,0,NA,NA,0,0,0,0,1,0500000US17041,"Douglas County, Illinois",67177,0500000US17041,"Douglas County, Illinois",19714,*****,NA,IL,17041,424222,Douglas County,1079117765,1441160,416.65,0.556,39.766078,-88.222866,Douglas,Illinois,G17,G1700410,55036627.88,3739164.9,0,55095.54,47968.39,7405458.15,47.31549261970479,0,2.674393953580384e-7,0,5.348787907160767e-5,2.674393953580384e-7,5.348787907160767e-5
17053,1,0,0,NA,NA,0,0,0,0,1,0500000US17053,"Ford County, Illinois",58930,0500000US17053,"Ford County, Illinois",13484,*****,NA,IL,17053,424228,Ford County,1257690130,1640595,485.597,0.633,40.596539,-88.224588,Ford,Illinois,G17,G1700530,64328804.44,5824426.32,0,44425.05,41204.51,7615752.94,27.76788159729158,0,1.7169072884760948e-7,0,0,1.7169072884760948e-7,0
17105,2,250,0,NA,NA,0,1,0,0,1,0500000US17105,"Livingston County, Illinois",68175,0500000US17105,"Livingston County, Illinois",35771,*****,NA,IL,17105,424254,Livingston County,2702983876,5975815,1043.628,2.307,40.894376,-88.552852,Livingston,Illinois,G17,G1701050,136333721.4,12953100.28,0,99579.71,284174.04,18685518.26,34.2756231147497,7.334942446601475e-9,7.720159486019204e-8,0,1.930039871504801e-5,8.453653730679352e-8,1.930039871504801e-5
17107,3,600,0,NA,NA,0,0,0,0,3,0500000US17107,"Logan County, Illinois",62547,0500000US17107,"Logan County, Illinois",28027,*****,NA,IL,17107,424255,Logan County,1600748258,2262329,618.052,0.873,40.129277,-89.365309,Logan,Illinois,G17,G1701070,78711721.16,8167371.66,0,71733.01,50554.64,10561229.03,45.34731705422845,0,3.673152300259102e-7,0,7.346304600518204e-5,3.673152300259102e-7,7.346304600518204e-5
17115,1,305,0,NA,NA,0,0,0,0,1,0500000US17115,"Macon County, Illinois",59622,0500000US17115,"Macon County, Illinois",103542,*****,NA,IL,17115,424256,Macon County,1503613060,13477733,580.548,5.204,39.860237,-88.961529,Macon,Illinois,G17,G1701150,70614278.66,6258873.75,0,281940.51,97815.51,11142110.59,178.35217759771803,0,1.597731540758431e-7,0,4.873081199313215e-5,1.597731540758431e-7,4.873081199313215e-5
