GEO_ID,total_restrictions,municipal_level_restrictions,county_level_restrictions,battery storage,solar,transmission line,wind
10001,1,0,1,,1,,
10005,1,1,0,,1,,
01003,1,0,1,,,,1
01019,1,0,1,,,,1
01049,1,0,1,,,,1
01055,1,0,1,,,,1
13009,1,0,1,,1,,
13119,1,0,1,,,,
13131,1,0,1,,1,,
13133,1,0,1,,1,,
13161,1,0,1,,1,,
13177,1,0,1,,1,,
13221,1,0,1,,1,,
13275,1,0,1,,1,,
15003,1,1,0,,,,1
16011,1,0,1,,,,1
16019,1,0,1,,,,1
16083,1,0,1,,,,
17007,1,0,1,,,,1
17021,1,0,1,,,,1
17037,1,0,1,,,,1
17053,1,0,1,,,,1
17103,1,0,1,,1,,
17133,1,0,1,,1,,
17147,1,0,1,,,,1
17179,1,0,1,,,,1
18003,1,0,1,,,,1
18011,1,0,1,,,,1
18023,1,0,1,,,,1
18035,1,0,1,,1,,
18049,1,0,1,,,,1
18057,1,0,1,,1,,
18065,1,0,1,,,,1
18067,1,0,1,,,,1
18073,1,0,1,,,,1
18085,1,0,1,,1,,
18089,1,0,1,,1,,
18095,1,0,1,,1,,
18099,1,0,1,,,,1
18103,1,0,1,,,,1
18107,1,0,1,,,,1
18113,1,0,1,,,,1
18129,1,0,1,,1,,
18131,1,0,1,,,,1
18139,1,0,1,,,,
18147,1,0,1,,1,,
18157,1,0,1,,,,1
18159,1,0,1,,,,1
18165,1,0,1,,,,1
18169,1,0,1,,,,1
18177,1,0,1,,1,,
18179,1,0,1,,,,1
18183,1,0,1,,,,
19001,1,0,1,,,,1
19023,1,0,1,,,,1
19033,1,0,1,,1,,
19049,1,0,1,,,,1
19073,1,0,1,,1,,
19075,1,0,1,,,,1
19083,1,0,1,,,,1
19103,1,0,1,,1,,
19113,1,0,1,,1,,
19121,1,0,1,,1,,
19137,1,0,1,,,,1
19145,1,0,1,,,,1
19147,1,0,1,,,,1
19155,1,1,0,,,,1
19167,1,0,1,,1,,
19175,1,0,1,,,,1
19193,1,0,1,,1,,
19195,1,0,1,,,,1
20009,1,0,1,,1,,
20013,1,0,1,,,,1
20021,1,0,1,,,,1
20045,1,0,1,,1,,
20059,1,0,1,,1,,
20079,1,0,1,,1,,
20091,1,0,1,,1,,
20093,1,0,1,,,,1
20099,1,0,1,,,,1
20103,1,0,1,,,,1
20107,1,0,1,,,,1
20113,1,0,1,,1,,
20131,1,0,1,,,,1
20139,1,0,1,,1,,
20151,1,0,1,,1,,
20155,1,0,1,,,,1
20173,1,0,1,,1,,
21021,1,0,1,,1,,
21047,1,1,0,,1,,
21117,1,1,0,,1,,
21161,1,0,1,,1,,
21163,1,0,1,,1,,
23001,1,1,0,,1,,
23003,1,1,0,,,,1
23007,1,1,0,,1,,
23009,1,1,0,,1,,
23011,5,5,0,,3,,2
23017,4,4,0,,2,,2
23019,4,4,0,,4,,
23025,2,2,0,,2,,
23027,4,4,0,,,2,2
24001,1,0,1,,,,1
24003,1,0,1,,,,1
24013,1,0,1,,1,,
24039,1,0,1,,,,1
24047,1,0,1,,,,1
25011,1,1,0,,1,,
25015,1,1,0,,1,,
25017,1,1,0,,1,,
25027,1,1,0,,1,,
26013,1,1,0,,,,1
26017,3,3,0,,2,,1
26023,3,3,0,,,,3
