geoid_5_digit,total_restrictions,municipal_level_restrictions,county_level_restrictions,battery_storage,solar,transmission_line,wind,GEO_ID.x,NAME.x,median_income,GEO_ID.y,NAME.y,population,B01003_001M,...5,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,county_name,state_name,state_geography_id,geography_id,utility_pv,land_based_wind,csp,residential_pv,commercial_pv,distributed_wind,density,solar_normalized,wind_normalized,solar_and_wind_normalized
10001,1,0,1,0,1,0,0,0500000US10001,"Kent County, Delaware",69278,0500000US10001,"Kent County, Delaware",182400,*****,NA,DE,10001,217271,Kent County,1517891096,549776917,586.061,212.27,39.097088,-75.502982,Kent,Delaware,G10,G1000010,44941394.67,357040.59,0,352779.01,357409.38,9835627.37,311.2304009309611,2.225120086599217e-8,0,2.225120086599217e-8
10005,1,1,0,0,1,0,0,0500000US10005,"Sussex County, Delaware",75406,0500000US10005,"Sussex County, Delaware",240668,*****,NA,DE,10005,217269,Sussex County,2424590442,674129051,936.14,260.283,38.673227,-75.337024,Sussex,Delaware,G10,G1000050,81984441.95,965895.91,0,456583.65,385844.98,18060534,257.0854786677206,1.219743619905191e-8,0,1.219743619905191e-8
01003,1,0,1,0,0,0,1,0500000US01003,"Baldwin County, Alabama",71039,0500000US01003,"Baldwin County, Alabama",233420,*****,NA,AL,1003,161527,Baldwin County,4117781416,1132830835,1589.884,437.388,30.659218,-87.746067,Baldwin,Alabama,G01,G0100030,125782205.5,1999889.33,27316167,483008.57,361886.15,12261782.14,146.8157425321596,0,5.000276690310659e-7,5.000276690310659e-7
01019,1,0,1,0,0,0,1,0500000US01019,"Cherokee County, Alabama",46621,0500000US01019,"Cherokee County, Alabama",25069,*****,NA,AL,1019,161535,Cherokee County,1433614765,120316891,553.522,46.455,34.069515,-85.654242,Cherokee,Alabama,G01,G0100190,34241223.25,2411547.6,0,62507.53,75375.57,4912806.41,45.2899794407449,0,4.14671474865352e-7,4.14671474865352e-7
01049,1,0,1,0,0,0,1,0500000US01049,"DeKalb County, Alabama",47920,0500000US01049,"DeKalb County, Alabama",71680,*****,NA,AL,1049,161550,DeKalb County,2012620263,4107136,777.077,1.586,34.460915,-85.804021,DeKalb,Alabama,G01,G0100490,57970435.72,3146756.11,0,145522.92,240497.06,13402869.82,92.2431110430498,0,3.177875771249396e-7,3.177875771249396e-7
01055,1,0,1,0,0,0,1,0500000US01055,"Etowah County, Alabama",52177,0500000US01055,"Etowah County, Alabama",103348,*****,NA,AL,1055,161553,Etowah County,1386015447,34924289,535.144,13.484,34.047641,-86.034263,Etowah,Alabama,G01,G0100550,28123378.83,2098313.61,0,235473.66,436333.35,5871740.51,193.1218513147863,0,4.765731848825019e-7,4.765731848825019e-7
13009,1,0,1,0,1,0,0,0500000US13009,"Baldwin County, Georgia",54699,0500000US13009,"Baldwin County, Georgia",43778,*****,NA,GA,13009,345255,Baldwin County,670028049,24803188,258.699,9.577,33.05949,-83.255457,Baldwin,Georgia,G13,G1300090,18444588.02,945189.19,0,66068.86,127258.65,1764943.47,169.22369239927482,5.421644543731045e-8,0,5.421644543731045e-8
13119,1,0,1,0,0,0,0,0500000US13119,"Franklin County, Georgia",52597,0500000US13119,"Franklin County, Georgia",23480,*****,NA,GA,13119,349324,Franklin County,676873326,12752557,261.342,4.924,34.375266,-83.227532,Franklin,Georgia,G13,G1301190,16148738.13,392389.37,1757473.74,41093.65,62161.48,2378703.96,89.84395925645323,0,0,0
13131,1,0,1,0,1,0,0,0500000US13131,"Grady County, Georgia",51929,0500000US13131,"Grady County, Georgia",26075,*****,NA,GA,13131,351261,Grady County,1177052070,15026015,454.462,5.802,30.8759,-84.244965,Grady,Georgia,G13,G1301310,38787723.54,295471.44,498747.29,43471.9,41886.1,4784925.98,57.37553414806959,2.5781353189463308e-8,0,2.5781353189463308e-8
13133,1,0,1,0,1,0,0,0500000US13133,"Greene County, Georgia",77527,0500000US13133,"Greene County, Georgia",19020,*****,NA,GA,13133,348672,Greene County,1003664492,48417220,387.517,18.694,33.576704,-83.166625,Greene,Georgia,G13,G1301330,22378150.82,1664411.91,1574167.12,39401.62,69039.35,3120219.78,49.081717705287765,4.4686444739941205e-8,0,4.4686444739941205e-8
13161,1,0,1,0,1,0,0,0500000US13161,"Jeff Davis County, Georgia",41780,0500000US13161,"Jeff Davis County, Georgia",14791,*****,NA,GA,13161,1687999,Jeff Davis County,857075892,11600966,330.919,4.479,31.811615,-82.636825,Jeff Davis,Georgia,G13,G1301610,34616893.42,202025.77,0,30772.55,51868.05,3431881.5,44.696738476787374,2.8887629743870873e-8,0,2.8887629743870873e-8
13177,1,0,1,0,1,0,0,0500000US13177,"Lee County, Georgia",83632,0500000US13177,"Lee County, Georgia",32968,*****,NA,GA,13177,343390,Lee County,921632943,15408829,355.844,5.949,31.818419,-84.146681,Lee,Georgia,G13,G1301770,37962241.76,719387.82,6350946.42,67179.8,75499.37,2381617.99,92.6473398455503,2.6341963847184563e-8,0,2.6341963847184563e-8
13221,1,0,1,0,1,0,0,0500000US13221,"Oglethorpe County, Georgia",66672,0500000US13221,"Oglethorpe County, Georgia",14974,*****,NA,GA,13221,351262,Oglethorpe County,1137165329,7708032,439.062,2.976,33.866806,-83.074081,Oglethorpe,Georgia,G13,G1302210,36152998.43,1901578.96,4702621.35,31888.66,39693.77,2928722.35,34.104522823655884,2.7660223036167128e-8,0,2.7660223036167128e-8
13275,1,0,1,0,1,0,0,0500000US13275,"Thomas County, Georgia",55958,0500000US13275,"Thomas County, Georgia",45665,*****,NA,GA,13275,343835,Thomas County,1410592607,19645695,544.633,7.585,30.864619,-83.919815,Thomas,Georgia,G13,G1302750,48532715.79,390775.5,321015.87,88054.72,173342.49,4996225.05,83.84545189145717,2.0604657780268842e-8,0,2.0604657780268842e-8
15003,1,1,0,0,0,0,1,0500000US15003,"Honolulu County, Hawaii",99816,0500000US15003,"Honolulu County, Hawaii",1010100,*****,NA,HI,15003,365281,Honolulu County,1556027675,4054461969,600.786,1565.437,21.461365,-158.201974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1681.2975002746405,NA,NA,NA
16011,1,0,1,0,0,0,1,0500000US16011,"Bingham County, Idaho",69433,0500000US16011,"Bingham County, Idaho",48253,*****,NA,ID,16011,400593,Bingham County,5422741966,68632371,2093.732,26.499,43.216357,-112.399206,Bingham,Idaho,G16,G1600110,208189394.5,27032828.07,386439167.8,80144.29,55654.23,10784587.46,23.046407085529573,0,3.699206007638401e-8,3.699206007638401e-8
16019,1,0,1,0,0,0,1,0500000US16019,"Bonneville County, Idaho",73103,0500000US16019,"Bonneville County, Idaho",124490,*****,NA,ID,16019,395407,Bonneville County,4832814957,88912977,1865.96,34.329,43.395171,-111.621878,Bonneville,Idaho,G16,G1600190,80991944.45,13400843.54,97370810.86,183023.16,131103.53,10365724.82,66.7163283242942,0,7.462216815046854e-8,7.462216815046854e-8
16083,1,0,1,0,0,0,0,0500000US16083,"Twin Falls County, Idaho",61183,0500000US16083,"Twin Falls County, Idaho",90592,*****,NA,ID,16083,399334,Twin Falls County,4977216106,18060783,1921.714,6.973,42.352309,-114.665639,Twin Falls,Idaho,G16,G1600830,171962495.8,25512021.18,263409033.4,148349.13,78797.69,10614204.47,47.1412499466622,0,0,0
17007,1,0,1,0,0,0,1,0500000US17007,"Boone County, Illinois",80502,0500000US17007,"Boone County, Illinois",53459,*****,NA,IL,17007,424205,Boone County,727137089,3338156,280.749,1.289,42.318983,-88.824295,Boone,Illinois,G17,G1700070,32480426.32,2608638.19,0,120091.11,248468.13,5776108.2,190.41563816790085,0,3.833417772665515e-7,3.833417772665515e-7
