USPS,rejections_total,solar_rejections,wind_rejections,state_name,geography_id,utility_pv,csp,residential_pv,commercial_pv,distributed_wind,floating_pv,biopower,offshore_wind,hydro,land_based_wind,geothermal,solar_rejections_normalized,wind_rejections_normalized,solar_and_wind_rejections_normalized,solar_and_wind_rejections_normalized_per_1000_gw
AL,4,1,3,Alabama,G01,3285481948,458204221.5,10741475.79,14861864.35,443194010.7,943686.905,47995740.51,169120597.70087042,6615637.014692849,254791272.2,NA,3.043693484787033e-10,1.1774343660538923e-8,1.2078713009017627e-8,0.012078713
AZ,1,0,0,Arizona,G04,8314796847,13728868577,13993686.49,4547713.92,261472221.9,21428428.47,5878410.953777778,NA,12999069.318968644,1049161727,919800,0,0,0,0
CA,18,6,10,California,G06,4514440920,6387960087,70314636.13,150200335.1,524459877.8,75687657.5,55766980.11733335,357413036.7,92469658.29140364,456328078,108503637.6,1.329068229315464e-9,2.1914058069422588e-8,2.324312629873805e-8,0.023243126
CO,6,5,0,Colorado,G08,6979828036,11650416298,8612712.55,14292025.14,397658258.6,19674017.95,24325268.90654815,NA,34549789.91310259,883699969.9,1151151.6000000003,7.163500267553991e-10,0,7.163500267553991e-10,7.16E-04
DE,3,1,2,Delaware,G10,145945085.2,0,1687076.53,1831132.95,33947281.39,41469.414,1084025.8604888888,8550238.936006876,NA,1605114.55,NA,6.851892264160162e-9,1.2460169898777628e-6,1.252868882141923e-6,1.252868882
FL,2,2,0,Florida,G12,3330753420,1637090842,45803020.75,62363611.52,349809025.8,120071469,43096568.95422223,1131911234,2698741.2457026225,64077232.18,NA,6.004647440169216e-10,0,6.004647440169216e-10,6.00E-04
GA,2,2,0,Georgia,G13,4124586039,512795819.6,18698911.32,26204648.1,489481175.2,5675869.682,99745688.92148148,292849859.16549313,11543962.05192608,138223051.8,NA,4.848971463272051e-10,0,4.848971463272051e-10,4.85E-04
HI,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IA,10,3,7,Iowa,G19,5480643022,4976544.37,7611253.23,8239233.12,1036928958,2467663.831,88241847.64275557,NA,22950226.68411017,623214076.5,NA,5.4738102591872e-10,1.1232095460820931e-8,1.1779476486739652e-8,0.011779476
ID,3,0,3,Idaho,G16,2974012805,3879399765,2631715.67,1577308.99,227172944.8,18660364.03,7157308.902548149,NA,58834808.147924304,524897030,6170193.6,0,5.715406696487912e-9,5.715406696487912e-9,0.005715407
IL,14,5,9,Illinois,G17,6006934604,0,22751407.78,32340454.61,1002903048,1719909.814,56996188.66,17021469.573533297,20481860.76803223,528267055.9,NA,8.323713057010231e-10,1.7036837522124314e-8,1.7869208827825337e-8,0.017869209
IN,17,10,7,Indiana,G18,3453123081,0,15332584.46,17659833.08,678910342.2,1461824.6430000002,31877904.229777776,10919966.72914148,5939920.759394395,240672660.7,NA,2.8959292111939165e-9,2.9085148181557244e-8,3.198107739275116e-8,0.031981077
KS,8,1,7,Kansas,G20,10625695226,18009661593,6994556.78,9196429.79,744162453.4,10889161.31,69523576.94704445,NA,31605575.99313397,1120963249,NA,9.411148906003264e-11,6.2446293463959004e-9,6.338740835455933e-9,0.006338741
KY,7,5,2,Kentucky,G21,1693272837,0,8405121.98,13120305.25,398164246.4,1845859.576,12143633.351859262,NA,12528800.595933462,257229751.5,NA,2.9528614008448956e-9,7.775150378314593e-9,1.072801177915949e-8,0.010728012
LA,2,2,0,Louisiana,G22,3146703472,1445671338,11881755.66,17836990.28,324710306,3018627.871,45896108.19940741,1229135712.705243,7602303.784,107003810.4,NA,6.355857862347461e-10,0,6.355857862347461e-10,6.36E-04
MA,15,7,8,Massachusetts,G25,156681354,0,8176395.76,19188631.79,112278160.8,295104.288,622101.7124444444,1143322874.6438422,1211043.348713887,14451636.31,NA,4.4676662671381014e-8,5.53570531972514e-7,5.98247194643895e-7,0.598247195
MD,5,2,3,Maryland,G24,448303272.9,0,8752919.19,17628776.65,147452498.6,636282.557,4387044.127333334,113523601.57588334,2575790.170693376,21212320.09,NA,4.461265667363338e-9,1.41427245453187e-7,1.4588851112055035e-7,0.145888511
ME,10,2,7,Maine,G23,1205282558,0,2222215.31,3992810.85,202239951.8,22990545.32,38112777.71125926,452990565.77964944,7697210.135093503,200990265.4,NA,1.6593619367724036e-9,3.4827557376558774e-8,3.648691931333118e-8,0.036486919
MI,22,7,15,Michigan,G26,3595423262,0,19931620.44,27001398.67,854354162.6,6757620.622,99588740.81,285147893.7396616,2370413.5690092267,163894719.9,NA,1.9469195946543093e-9,9.152216747371654e-8,9.346908706837086e-8,0.093469087
MN,5,3,2,Minnesota,G27,6118279034,0,9777202.08,16814289.84,1064771245,37237500.24,110620908.79484442,1955232,7730012.384,392893980.8,NA,4.903339620969418e-10,5.090431765287359e-9,5.580765727384301e-9,0.005580766
MO,3,1,1,Missouri,G29,5102668801,745589520.1,13459702.7,19697365.81,1043945626,2051977.574,10742705.891474074,NA,30744776.23397969,653907868.3,NA,1.9597587829405546e-10,1.5292674221465144e-9,1.7252433004405698e-9,0.001725243
MS,1,1,0,Mississippi,G28,3797550796,1224143613,6393531.62,8154942.42,425574027.3,7729631.215,31477699.166444443,84633466.60392371,2225101.2975006485,188920543.5,NA,2.6332761658496954e-10,0,2.6332761658496954e-10,2.63E-04
MT,4,1,3,Montana,G30,7416131216,1955933007,1552311.45,378283.87,347719709.2,21167865.64,14847442.159370374,NA,44926866.30892679,1930819707,1021065.6,1.3484119561439155e-10,1.5537442407880917e-9,1.6885854364024832e-9,0.001688585
NC,6,6,0,North Carolina,G37,2953992055,175497005.5,17992037.95,23572959.21,465421780.7,10682368.31,58303755.71259261,594875731.6859856,10659649.086132333,116231149.8,NA,2.0311496745021757e-9,0,2.0311496745021757e-9,0.00203115
ND,6,0,6,North Dakota,G38,7002105373,1109568965,1307579.94,1517301.88,361631817.6,1752056.197,15353119.9,NA,6914763.0179130165,669797341.4,NA,0,8.957933436326386e-9,8.957933436326386e-9,0.008957933
