USPS,restrictive_policies_total,solar_restrictive_policies,wind_restrictive_policies,state_name,geography_id,utility_pv,csp,residential_pv,commercial_pv,distributed_wind,floating_pv,biopower,offshore_wind,hydro,land_based_wind,geothermal,solar_restrictions_normalized,wind_restrictions_normalized,solar_and_wind_restrictions_normalized,solar_and_wind_restrictions_normalized_per_1000_gw
AL,4,0,4,Alabama,G01,3285481948.16,458204221.5,10741475.79,14861864.35,443194010.69,943686.905,47995740.5125926,169120597.70087042,6615637.014692849,254791272.15,NA,0,1.5699124880718564e-8,1.5699124880718564e-8,0.015699124880718566
AZ,2,1,0,Arizona,G04,8314796846.68,13728868577.09,13993686.49,4547713.92,261472221.92,21428428.47,5878410.953777778,NA,12999069.318968644,1049161727.47,919800,1.2026752047457275e-10,0,1.2026752047457275e-10,1.2026752047457275e-4
CA,4,3,1,California,G06,4514440920.08,6387960087.36,70314636.13,150200335.06,524459877.79,75687657.5,55766980.11733335,357413036.725693,92469658.29140364,456328078,108503637.6,6.64534114657732e-10,2.1914058069422588e-9,2.8559399215999907e-9,0.002855939921599991
CO,5,4,0,Colorado,G08,6979828035.53,11650416298.3,8612712.55,14292025.14,397658258.59,19674017.95,24325268.90654815,NA,34549789.91310259,883699969.91,1151151.6000000003,5.730800214043192e-10,0,5.730800214043192e-10,5.730800214043193e-4
DE,2,2,0,Delaware,G10,145945085.16,0,1687076.53,1831132.95,33947281.39,41469.414,1084025.8604888888,8550238.936006876,NA,1605114.55,NA,1.3703784528320324e-8,0,1.3703784528320324e-8,0.013703784528320323
GA,8,7,0,Georgia,G13,4124586038.81,512795819.55,18698911.32,26204648.1,489481175.16,5675869.682,99745688.92148148,292849859.16549313,11543962.05192608,138223051.76,NA,1.697140012145218e-9,0,1.697140012145218e-9,0.0016971400121452182
HI,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IA,18,7,11,Iowa,G19,5480643021.86,4976544.37,7611253.23,8239233.12,1036928958.03,2467663.831,88241847.64275557,NA,22950226.68411017,623214076.52,NA,1.2772223938103464e-9,1.7650435724147176e-8,1.8927658117957523e-8,0.018927658117957522
ID,3,0,2,Idaho,G16,2974012805.11,3879399764.75,2631715.67,1577308.99,227172944.75,18660364.03,7157308.902548149,NA,58834808.147924304,524897029.96,6170193.6,0,3.8102711309919415e-9,3.8102711309919415e-9,0.0038102711309919417
IL,8,2,6,Illinois,G17,6006934604.49,0,22751407.78,32340454.61,1002903047.98,1719909.814,56996188.6638889,17021469.573533297,20481860.76803223,528267055.92,NA,3.3294852228040925e-10,1.135789168141621e-8,1.169084020369662e-8,0.01169084020369662
IN,27,8,17,Indiana,G18,3453123080.96,0,15332584.46,17659833.08,678910342.23,1461824.6430000002,31877904.229777776,10919966.72914148,5939920.759394395,240672660.71,NA,2.3167433689551335e-9,7.063535986949616e-8,7.29521032384513e-8,0.07295210323845129
KS,17,9,8,Kansas,G20,10625695225.82,18009661592.85,6994556.78,9196429.79,744162453.35,10889161.31,69523576.94704445,NA,31605575.99313397,1120963248.85,NA,8.470034015402938e-10,7.1367192530238864e-9,7.98372265456418e-9,0.00798372265456418
KY,5,5,0,Kentucky,G21,1693272836.5,0,8405121.98,13120305.25,398164246.44,1845859.576,12143633.351859262,NA,12528800.595933462,257229751.54,NA,2.9528614008448956e-9,0,2.9528614008448956e-9,0.0029528614008448957
MA,4,4,0,Massachusetts,G25,156681354.01,0,8176395.76,19188631.79,112278160.83,295104.288,622101.7124444444,1143322874.6438422,1211043.348713887,14451636.31,NA,2.5529521526503435e-8,0,2.5529521526503435e-8,0.025529521526503434
MD,5,1,4,Maryland,G24,448303272.91,0,8752919.19,17628776.65,147452498.59,636282.557,4387044.127333334,113523601.57588334,2575790.170693376,21212320.09,NA,2.230632833681669e-9,1.8856966060424936e-7,1.9080029343793103e-7,0.19080029343793103
ME,23,14,7,Maine,G23,1205282558.12,0,2222215.31,3992810.85,202239951.79,22990545.32,38112777.71125926,452990565.77964944,7697210.135093503,200990265.39,NA,1.1615533557406824e-8,3.4827557376558774e-8,4.6443090933965596e-8,0.0464430909339656
MI,61,32,28,Michigan,G26,3595423262.07,0,19931620.44,27001398.67,854354162.55,6757620.622,99588740.8065185,285147893.7396616,2370413.5690092267,163894719.87,NA,8.900203861276844e-9,1.708413792842709e-7,1.7974158314554773e-7,0.17974158314554772
MN,3,3,0,Minnesota,G27,6118279034.09,0,9777202.08,16814289.84,1064771245.21,37237500.24,110620908.79484442,1955232,7730012.38397513,392893980.75,NA,4.903339620969418e-10,0,4.903339620969418e-10,4.903339620969417e-4
MO,5,1,4,Missouri,G29,5102668801.41,745589520.11,13459702.7,19697365.81,1043945625.66,2051977.574,10742705.891474074,NA,30744776.23397969,653907868.25,NA,1.9597587829405546e-10,6.1170696885860575e-9,6.313045566880113e-9,0.006313045566880113
NC,9,4,5,North Carolina,G37,2953992054.51,175497005.53,17992037.95,23572959.21,465421780.72,10682368.31,58303755.71259261,594875731.6859856,10659649.086132333,116231149.77,NA,1.3540997830014505e-9,4.301772812102502e-8,4.4371827904026475e-8,0.044371827904026474
