State Name,Technology,Geography ID,Technical Generation Potential - MWh MWh,State Abbreviation
Louisiana,utility_pv,G22,3146703471.53,LA
Louisiana,csp,G22,1445671338.02,LA
Louisiana,residential_pv,G22,11881755.66,LA
Louisiana,commercial_pv,G22,17836990.28,LA
Louisiana,distributed_wind,G22,324710306.02,LA
Louisiana,floating_pv,G22,3018627.871,LA
Louisiana,biopower,G22,45896108.19940741,LA
Louisiana,offshore_wind,G22,1229135712.705243,LA
Louisiana,hydro,G22,7602303.78413269,LA
Louisiana,land_based_wind,G22,107003810.43,LA
Mississippi,utility_pv,G28,3797550796.11,MS
Mississippi,csp,G28,1224143612.72,MS
Mississippi,residential_pv,G28,6393531.62,MS
Mississippi,commercial_pv,G28,8154942.42,MS
Mississippi,distributed_wind,G28,425574027.32,MS
Mississippi,floating_pv,G28,7729631.215,MS
Mississippi,biopower,G28,31477699.166444443,MS
Mississippi,offshore_wind,G28,84633466.60392371,MS
Mississippi,hydro,G28,2225101.2975006485,MS
Mississippi,land_based_wind,G28,188920543.54,MS
Georgia,utility_pv,G13,4124586038.81,GA
Georgia,csp,G13,512795819.55,GA
Georgia,residential_pv,G13,18698911.32,GA
Georgia,commercial_pv,G13,26204648.1,GA
Georgia,distributed_wind,G13,489481175.16,GA
Georgia,floating_pv,G13,5675869.682,GA
Georgia,biopower,G13,99745688.92148148,GA
Georgia,offshore_wind,G13,292849859.16549313,GA
Georgia,hydro,G13,11543962.05192608,GA
Georgia,land_based_wind,G13,138223051.76,GA
Illinois,utility_pv,G17,6006934604.49,IL
Illinois,csp,G17,0.0,IL
Illinois,residential_pv,G17,22751407.78,IL
Illinois,commercial_pv,G17,32340454.61,IL
Illinois,distributed_wind,G17,1002903047.98,IL
Illinois,floating_pv,G17,1719909.814,IL
Illinois,biopower,G17,56996188.6638889,IL
Illinois,offshore_wind,G17,17021469.573533297,IL
Illinois,hydro,G17,20481860.76803223,IL
Illinois,land_based_wind,G17,528267055.92,IL
Minnesota,utility_pv,G27,6118279034.09,MN
Minnesota,csp,G27,0.0,MN
Minnesota,residential_pv,G27,9777202.08,MN
Minnesota,commercial_pv,G27,16814289.84,MN
Minnesota,distributed_wind,G27,1064771245.21,MN
Minnesota,floating_pv,G27,37237500.24,MN
Minnesota,biopower,G27,110620908.79484442,MN
Minnesota,offshore_wind,G27,1955232.0,MN
Minnesota,hydro,G27,7730012.38397513,MN
Minnesota,land_based_wind,G27,392893980.75,MN
Idaho,utility_pv,G16,2974012805.11,ID
Idaho,csp,G16,3879399764.75,ID
Idaho,residential_pv,G16,2631715.67,ID
Idaho,commercial_pv,G16,1577308.99,ID
Idaho,distributed_wind,G16,227172944.75,ID
Idaho,floating_pv,G16,18660364.03,ID
Idaho,geothermal,G16,6170193.6,ID
Idaho,biopower,G16,7157308.902548149,ID
Idaho,hydro,G16,58834808.147924304,ID
Idaho,land_based_wind,G16,524897029.96,ID
Wisconsin,utility_pv,G55,3538828046.41,WI
Wisconsin,csp,G55,0.0,WI
Wisconsin,residential_pv,G55,12111238.43,WI
Wisconsin,commercial_pv,G55,15415277.82,WI
Wisconsin,distributed_wind,G55,877000101.15,WI
Wisconsin,floating_pv,G55,4185156.85,WI
Wisconsin,biopower,G55,41988799.08440741,WI
Wisconsin,offshore_wind,G55,77226725.98708658,WI
Wisconsin,hydro,G55,4760394.44122556,WI
Wisconsin,land_based_wind,G55,228010870.96,WI
Nebraska,utility_pv,G31,7982349417.37,NE
Nebraska,csp,G31,9694882940.23,NE
Nebraska,residential_pv,G31,4666235.46,NE
Nebraska,commercial_pv,G31,7352343.78,NE
Nebraska,distributed_wind,G31,609563190.08,NE
Nebraska,floating_pv,G31,12967310.03,NE
Nebraska,biopower,G31,46377976.68642964,NE
Nebraska,hydro,G31,9232048.608399805,NE
Nebraska,land_based_wind,G31,1210790945.92,NE
Utah,utility_pv,G49,3709227976.49,UT
Utah,csp,G49,5649145780.21,UT
Utah,residential_pv,G49,4248351.79,UT
Utah,commercial_pv,G49,4360765.93,UT
Utah,distributed_wind,G49,122355059.84,UT
Utah,floating_pv,G49,7028180.041000001,UT
Utah,geothermal,G49,3505752.0,UT
Utah,biopower,G49,4982533.073777777,UT
Utah,hydro,G49,4901946.211768059,UT
Utah,land_based_wind,G49,636194125.48,UT
Colorado,utility_pv,G08,6979828035.53,CO
Colorado,csp,G08,11650416298.3,CO
Colorado,residential_pv,G08,8612712.55,CO
Colorado,commercial_pv,G08,14292025.14,CO
Colorado,distributed_wind,G08,397658258.59,CO
Colorado,floating_pv,G08,19674017.95,CO
Colorado,geothermal,G08,1151151.6000000003,CO
Colorado,biopower,G08,24325268.90654815,CO
Colorado,hydro,G08,34549789.91310259,CO
Colorado,land_based_wind,G08,883699969.91,CO
Wyoming,utility_pv,G56,5668346535.31,WY
Wyoming,csp,G56,5882973958.77,WY
Wyoming,residential_pv,G56,1151794.26,WY
Wyoming,commercial_pv,G56,712259.42,WY
Wyoming,distributed_wind,G56,179773835.15,WY
Wyoming,floating_pv,G56,20534813.48,WY
Wyoming,geothermal,G56,678724.8,WY
Wyoming,biopower,G56,413993.6609703704,WY
Wyoming,hydro,G56,3888036.418796407,WY
Wyoming,land_based_wind,G56,1330381419.05,WY
North Dakota,utility_pv,G38,7002105372.77,ND
North Dakota,csp,G38,1109568964.88,ND
North Dakota,residential_pv,G38,1307579.94,ND
North Dakota,commercial_pv,G38,1517301.88,ND
North Dakota,distributed_wind,G38,361631817.59,ND
North Dakota,floating_pv,G38,1752056.197,ND
North Dakota,biopower,G38,15353119.8996,ND
North Dakota,hydro,G38,6914763.0179130165,ND
North Dakota,land_based_wind,G38,669797341.39,ND
Missouri,utility_pv,G29,5102668801.41,MO
Missouri,csp,G29,745589520.11,MO
Missouri,residential_pv,G29,13459702.7,MO
Missouri,commercial_pv,G29,19697365.81,MO
Missouri,distributed_wind,G29,1043945625.66,MO
Missouri,floating_pv,G29,2051977.574,MO
Missouri,biopower,G29,10742705.891474074,MO
Missouri,hydro,G29,30744776.23397969,MO
Missouri,land_based_wind,G29,653907868.25,MO
Montana,utility_pv,G30,7416131216.01,MT
Montana,csp,G30,1955933007.02,MT
Montana,residential_pv,G30,1552311.45,MT
Montana,commercial_pv,G30,378283.87,MT
Montana,distributed_wind,G30,347719709.15,MT
Montana,floating_pv,G30,21167865.64,MT
Montana,geothermal,G30,1021065.6,MT
Montana,biopower,G30,14847442.159370374,MT
Montana,hydro,G30,44926866.30892679,MT
Montana,land_based_wind,G30,1930819707.16,MT
Kansas,utility_pv,G20,10625695225.82,KS
Kansas,csp,G20,18009661592.85,KS
Kansas,residential_pv,G20,6994556.78,KS
Kansas,commercial_pv,G20,9196429.79,KS
Kansas,distributed_wind,G20,744162453.35,KS
Kansas,floating_pv,G20,10889161.31,KS
Kansas,biopower,G20,69523576.94704445,KS
Kansas,hydro,G20,31605575.99313397,KS
Kansas,land_based_wind,G20,1120963248.85,KS
South Dakota,utility_pv,G46,7624085911.33,SD
South Dakota,csp,G46,6690148151.9,SD
South Dakota,residential_pv,G46,1879930.44,SD
South Dakota,commercial_pv,G46,1800909.76,SD
South Dakota,distributed_wind,G46,426164820.31,SD
South Dakota,floating_pv,G46,1712617.299,SD
South Dakota,biopower,G46,128949494.75567406,SD
South Dakota,hydro,G46,14371777.189379388,SD
South Dakota,land_based_wind,G46,1153240204.75,SD
Iowa,utility_pv,G19,5480643021.86,IA
Iowa,csp,G19,4976544.37,IA
Iowa,residential_pv,G19,7611253.23,IA
Iowa,commercial_pv,G19,8239233.12,IA
Iowa,distributed_wind,G19,1036928958.03,IA
Iowa,floating_pv,G19,2467663.831,IA
Iowa,biopower,G19,88241847.64275557,IA
Iowa,hydro,G19,22950226.68411017,IA
Iowa,land_based_wind,G19,623214076.52,IA
West Virginia,utility_pv,G54,79662244.99,WV
West Virginia,csp,G54,0.0,WV
West Virginia,residential_pv,G54,3404772.05,WV
West Virginia,commercial_pv,G54,3329281.25,WV
West Virginia,distributed_wind,G54,214856221.22,WV
West Virginia,floating_pv,G54,486379.01,WV
West Virginia,biopower,G54,11662733.43377778,WV
West Virginia,hydro,G54,15782328.13162608,WV
West Virginia,land_based_wind,G54,142908800.61,WV
Maryland,utility_pv,G24,448303272.91,MD
Maryland,csp,G24,0.0,MD
Maryland,residential_pv,G24,8752919.19,MD
Maryland,commercial_pv,G24,17628776.65,MD
Maryland,distributed_wind,G24,147452498.59,MD
Maryland,floating_pv,G24,636282.557,MD
Maryland,biopower,G24,4387044.127333334,MD
Maryland,offshore_wind,G24,113523601.57588334,MD
Maryland,hydro,G24,2575790.170693376,MD
Maryland,land_based_wind,G24,21212320.09,MD
Rhode Island,utility_pv,G44,34760021.23,RI
Rhode Island,csp,G44,0.0,RI
Rhode Island,residential_pv,G44,1366555.49,RI
Rhode Island,commercial_pv,G44,3320334.05,RI
Rhode Island,distributed_wind,G44,16566909.37,RI
Rhode Island,floating_pv,G44,1120719.296,RI
Rhode Island,biopower,G44,50600.22764444444,RI
Rhode Island,offshore_wind,G44,90249505.71040729,RI
Rhode Island,hydro,G44,20447.896272029546,RI
Rhode Island,land_based_wind,G44,629803.52,RI
New Hampshire,utility_pv,G33,97380537.95,NH
New Hampshire,csp,G33,0.0,NH
New Hampshire,residential_pv,G33,2041883.74,NH
New Hampshire,commercial_pv,G33,3629756.41,NH
New Hampshire,distributed_wind,G33,101327434.63,NH
New Hampshire,floating_pv,G33,2067315.209,NH
New Hampshire,biopower,G33,4274173.400592593,NH
New Hampshire,offshore_wind,G33,11827638.096951108,NH
New Hampshire,hydro,G33,2965398.68348369,NH
New Hampshire,land_based_wind,G33,46458035.92,NH
Vermont,utility_pv,G50,72488052.74,VT
Vermont,csp,G50,0.0,VT
Vermont,residential_pv,G50,986654.55,VT
Vermont,commercial_pv,G50,1890242.39,VT
Vermont,distributed_wind,G50,108075542.99,VT
Vermont,floating_pv,G50,554717.71,VT
Vermont,biopower,G50,5530583.418888887,VT
Vermont,hydro,G50,2502829.4860560526,VT
Vermont,land_based_wind,G50,55420645.84,VT
Connecticut,utility_pv,G09,61737584.69,CT
